Date,Day_of_Week,Exercise_Type,Specific_Exercise,Duration_mins,Calories_Burned,Actual_Weight_kg,Expected_Weight_kg,Heart_Rate_bpm,Steps,Sleep_hours,Intensity,Notes
2025-01-01,Wednesday,Cardio,Swimming,26,274,80.0,79.7,165,10809,8.4,High,Intervals
2025-01-02,Thursday,Flexibility,Stretching,39,148,79.9,79.6,90,5195,7.2,Low,Vinyasa flow
2025-01-03,Friday,Cardio,Running,28,288,79.3,79.5,163,11030,7.6,Medium,Hill training
2025-01-04,Saturday,Strength,Weightlifting,46,403,79.3,79.4,149,7986,8.5,High,Core focus
2025-01-05,Sunday,Rest,Rest Day,0,0,79.3,79.3,69,4939,7.3,Low,Recharge day
2025-01-06,Monday,Cardio,Jump Rope,47,537,78.9,79.2,164,11689,6.8,Medium,Intervals
2025-01-07,Tuesday,Strength,Weightlifting,36,282,79.1,79.1,146,7753,8.1,Medium,Strength gains
2025-01-08,Wednesday,Cardio,Jump Rope,41,384,79.0,79.1,153,8396,7.9,Medium,Great workout
2025-01-09,Thursday,Flexibility,Yoga,55,157,79.3,79.0,85,5730,8.0,Low,Restorative
2025-01-10,Friday,Rest,Rest Day,0,0,79.1,78.9,69,4959,7.6,Low,Recharge day
2025-01-11,Saturday,Strength,Weightlifting,40,295,78.6,78.8,135,6055,7.7,High,Solid session
2025-01-12,Sunday,Rest,Rest Day,0,0,78.7,78.7,69,3771,7.9,Low,Rest day
2025-01-13,Monday,Cardio,Jump Rope,31,322,78.7,78.6,143,7167,8.0,Medium,Good pace
2025-01-14,Tuesday,Strength,Weightlifting,47,329,78.2,78.5,136,5881,6.5,Medium,Upper body focus
2025-01-15,Wednesday,Cardio,Cycling,40,394,79.0,78.5,158,9757,6.5,High,Felt strong
2025-01-16,Thursday,Flexibility,Stretching,34,92,78.9,78.4,88,5858,7.4,Low,Restorative
2025-01-17,Friday,Cardio,Running,37,358,78.4,78.3,153,10422,7.7,Medium,Steady pace
2025-01-18,Saturday,Rest,Rest Day,0,0,78.4,78.2,68,2292,7.2,Low,Recovery
2025-01-19,Sunday,Rest,Rest Day,0,0,78.2,78.1,69,2836,7.8,Low,Rest and recover
